1	49	79
2	12	3
3	10	3
4	55	72
5	20	5
6	53	58
7	28	18
8	43	46
9	48	38
10	6	1
11	36	36
12	39	23
13	29	15
14	23	11
15	68	7
16	68	7
17	6	1
18	61	65
19	23	2
20	38	46
21	8	3
22	36	27
23	11	3
24	8	3
25	23	7
26	52	122
27	36	78
28	53	54
29	38	16
30	13	6
31	61	12
32	61	12
33	49	51
34	47	61
35	8	2
36	48	56
37	30	40
38	44	42
39	27	28
40	45	6
41	45	6
42	38	2
43	23	37
44	7	1
45	35	31
46	21	7
47	43	54
48	16	1
49	16	1
50	45	59
51	16	2
52	41	35
53	18	1
54	18	1
55	9	4
56	46	35
57	16	7
58	34	49
59	13	6
60	36	31
61	17	5
62	57	7
63	57	7
64	24	11
65	16	3
66	43	28
67	54	124
68	54	81
69	32	22
70	7	1
71	16	4
72	47	58
73	7	1
74	55	61
75	49	80
76	56	87
77	18	3
78	39	43
79	49	32
80	57	74
81	23	9
82	50	81
83	53	75
84	35	25
85	42	50
86	47	53
87	34	26
88	54	69
89	43	67
90	25	15
91	35	27
92	50	60
93	28	5
94	22	6
95	39	20
96	43	62
97	45	103
98	55	64
99	52	66
100	43	30
101	57	119
102	52	77
103	31	28
104	45	62
105	16	3
106	7	1
107	18	7
108	39	39
109	33	15
110	48	52
111	54	67
112	27	28
113	33	7
114	41	21
115	43	26
116	55	120
117	61	122
118	12	13
119	39	16
120	50	57
121	37	47
122	23	10
123	23	11
124	40	45
125	20	17
126	27	25
127	49	39
128	41	40
129	44	30
130	43	45
131	33	24
132	48	44
133	55	81
134	47	62
135	37	39
136	46	57
137	9	1
138	12	3
139	42	50
140	33	33
141	52	100
142	30	45
143	13	11
144	48	84
145	48	40
146	23	12
147	17	14
148	7	1
149	17	8
150	11	16
151	58	99
152	23	4
153	9	3
154	48	52
155	6	1
156	32	61
157	44	78
158	9	2
159	27	41
160	41	32
161	49	70
162	31	49
163	41	25
164	17	4
165	50	54
166	40	23
167	44	14
168	66	102
169	53	52
170	53	88
171	38	52
172	20	9
173	15	3
174	50	72
175	57	104
176	33	34
177	11	2
178	8	3
179	45	40
180	12	2
181	8	1
182	32	38
183	35	7
184	60	49
185	60	49
186	42	39
187	45	41
188	47	94
189	6	1
190	33	25
191	18	12
192	7	1
193	27	1
194	27	1
195	54	67
196	48	85
197	47	83
198	24	9
199	8	4
200	57	64
201	57	64
202	55	52
203	46	49
204	48	100
205	25	12
206	8	1
207	33	35
208	14	2
209	11	2
210	20	8
211	61	88
212	39	35
213	43	35
214	51	57
215	37	48
216	56	92
217	11	9
218	37	19
219	6	1
220	13	1
221	9	2
222	46	53
223	23	13
224	48	26
225	53	89
226	61	71
227	39	18
228	53	79
229	40	118
230	58	119
231	44	62
232	40	41
233	34	22
234	51	52
235	22	9
236	50	47
237	57	51
238	21	27
239	10	1
240	6	1
241	37	23
242	25	7
243	12	4
244	21	11
245	47	59
246	49	37
247	6	1
248	43	63
249	58	74
250	52	59
251	7	1
252	23	7
253	53	73
254	7	2
255	48	62
256	50	48
257	51	61
258	52	74
259	16	7
260	28	23
261	49	106
262	46	74
263	41	50
264	65	123
265	50	77
266	17	11
267	52	86
268	47	39
269	54	87
270	33	12
271	55	108
272	37	37
273	42	50
274	28	7
275	79	38
276	19	14
277	31	8
278	48	32
279	35	20
280	29	11
281	49	81
282	39	33
283	39	53
284	28	8
285	50	71
286	42	29
287	42	18
288	27	55
289	42	20
290	56	114
291	34	18
292	51	92
293	57	102
294	36	17
295	49	75
296	52	35
297	14	7
298	45	65
299	7	1
300	29	48
301	48	59
302	46	29
303	48	40
304	6	1
305	20	3
306	36	9
307	33	29
308	54	56
309	80	31
310	50	109
311	25	20
312	35	47
313	42	43
314	6	1
315	34	48
316	13	7
317	35	39
318	37	47
319	11	9
320	12	1
321	31	26
322	49	61
323	12	11
324	6	1
325	7	1
326	46	17
327	28	17
328	58	82
329	35	35
330	50	115
331	50	29
332	65	101
333	42	28
334	26	7
335	7	2
336	37	36
337	13	5
338	44	63
339	7	1
340	54	111
341	54	60
342	56	99
343	7	1
344	55	56
345	42	50
346	26	9
347	47	45
348	51	42
349	52	59
350	38	33
351	49	76
352	30	21
353	57	78
354	43	46
355	48	72
356	16	3
357	56	127
358	19	26
359	31	20
360	44	84
361	15	3
362	44	76
363	40	50
364	47	91
365	45	56
366	7	2
367	26	5
368	57	62
369	21	5
370	52	79
371	54	75
372	44	71
373	35	1
374	35	1
375	13	2
376	38	28
377	42	49
378	19	2
379	53	27
380	46	95
381	36	64
382	60	138
383	22	15
384	21	3
385	46	49
386	44	39
387	28	20
388	23	7
389	47	53
390	36	13
391	22	23
392	31	35
393	52	90
394	19	5
395	15	4
396	42	100
397	40	52
398	17	20
399	50	71
400	61	78
401	53	143
402	50	124
403	49	78
404	50	78
405	12	2
406	12	2
407	29	11
408	36	4
409	36	4
410	48	71
411	55	40
412	22	17
413	30	13
414	56	72
415	49	56
416	41	26
417	39	41
418	11	2
419	55	56
420	29	1
421	29	1
422	12	4
423	55	123
424	21	15
425	38	38
426	48	44
427	51	30
428	27	30
429	44	26
430	33	33
431	10	2
432	37	106
433	50	52
434	45	54
435	46	73
436	33	23
437	42	22
438	38	37
439	41	39
440	51	84
441	60	81
442	45	4
443	45	4
444	37	35
445	36	30
446	42	39
447	27	15
448	15	5
449	20	10
450	10	5
451	34	69
452	36	51
453	25	9
454	33	21
455	43	35
456	52	76
457	38	41
458	6	1
459	16	7
460	38	54
461	11	4
462	21	27
463	43	50
464	46	31
465	34	26
466	55	65
467	8	1
468	23	19
469	15	4
470	54	145
471	43	50
472	28	10
473	18	5
474	46	9
475	20	6
476	51	68
477	54	46
478	14	4
479	8	2
480	49	69
481	47	42
482	16	3
483	25	7
484	39	33
485	35	21
486	26	36
487	42	58
488	45	59
489	48	33
490	36	34
491	48	31
492	15	6
493	38	51
494	22	11
495	52	55
496	42	40
497	50	91
498	58	114
499	6	1
500	47	82
501	13	8
502	16	3
503	37	37
504	40	49
505	38	21
506	27	16
507	32	12
508	22	11
509	40	76
510	7	1
511	17	5
512	47	47
513	35	45
514	29	35
